timestamp, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2025/02/07 19:02:01.310, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:06.311, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:11.311, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:16.312, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:21.313, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:26.313, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:31.314, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:36.315, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:41.315, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:46.316, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:51.317, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:02:56.317, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:01.318, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:06.319, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:11.319, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:16.320, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:21.321, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:26.321, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:31.322, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:36.323, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:41.323, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:46.324, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:51.325, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:03:56.325, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:01.326, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:06.327, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:11.327, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:16.328, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:04:21.329, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
